FirstName1 LastName1  associate 75214.89
FirstName169 LastName169  full 84585.01
FirstName170 LastName170  assistant 55300.93
FirstName171 LastName171  full 115594.82
FirstName172 LastName172  associate 60283.51
FirstName173 LastName173  assistant 51290.55
FirstName174 LastName174  full 105964.21
FirstName175 LastName175  associate 73123.47
FirstName176 LastName176  associate 93337.09
FirstName177 LastName177  full 78821.03
FirstName178 LastName178  associate 83290.90
FirstName179 LastName179  full 80713.88
FirstName180 LastName180  associate 87124.33
FirstName181 LastName181  associate 89408.11
FirstName182 LastName182  associate 95874.67
FirstName183 LastName183  associate 68272.31
FirstName184 LastName184  associate 95398.55
FirstName185 LastName185  full 118378.76
FirstName186 LastName186  full 95428.98
FirstName187 LastName187  full 83254.96
FirstName188 LastName188  full 89215.05
FirstName189 LastName189  associate 95409.47
FirstName190 LastName190  full 107560.34
FirstName191 LastName191  full 121373.74
FirstName192 LastName192  associate 89670.79
FirstName193 LastName193  associate 62545.51
FirstName194 LastName194  assistant 58482.20
FirstName195 LastName195  associate 78633.37
FirstName196 LastName196  associate 84779.95
FirstName197 LastName197  associate 82446.82
FirstName198 LastName198  full 123351.11
FirstName199 LastName199  assistant 70577.53
FirstName200 LastName200  assistant 51688.28
FirstName201 LastName201  full 76458.76
FirstName202 LastName202  full 128972.37
FirstName203 LastName203  assistant 71906.90
FirstName204 LastName204  assistant 72416.15
FirstName205 LastName205  assistant 61462.45
FirstName206 LastName206  full 116419.37
FirstName207 LastName207  associate 63831.42
FirstName208 LastName208  full 85450.60
FirstName209 LastName209  assistant 60513.12
FirstName210 LastName210  associate 73106.57
FirstName211 LastName211  full 128593.95
FirstName212 LastName212  full 98337.99
FirstName213 LastName213  assistant 54776.07
FirstName214 LastName214  full 85350.11
FirstName215 LastName215  assistant 52245.88
FirstName216 LastName216  associate 96228.38
FirstName217 LastName217  assistant 75265.01
FirstName218 LastName218  associate 88708.24
FirstName219 LastName219  associate 75629.69
FirstName220 LastName220  associate 73347.75
FirstName221 LastName221  full 76264.02
FirstName222 LastName222  associate 87325.35
FirstName223 LastName223  assistant 70482.54
FirstName224 LastName224  associate 69859.07
FirstName225 LastName225  full 98813.36
FirstName226 LastName226  associate 69016.48
FirstName227 LastName227  assistant 77065.16
FirstName228 LastName228  assistant 76983.90
FirstName229 LastName229  full 117644.29
FirstName230 LastName230  associate 106760.16
FirstName231 LastName231  full 85616.92
FirstName232 LastName232  associate 85890.63
FirstName233 LastName233  assistant 74005.63
FirstName234 LastName234  assistant 60116.16
FirstName235 LastName235  full 112247.34
FirstName236 LastName236  full 76686.12
FirstName237 LastName237  full 113644.80
FirstName238 LastName238  full 120837.49
FirstName239 LastName239  associate 65966.06
FirstName240 LastName240  assistant 62866.64
FirstName241 LastName241  assistant 56245.68
FirstName242 LastName242  full 129673.13
FirstName243 LastName243  full 75397.79
FirstName244 LastName244  assistant 73960.67
FirstName245 LastName245  associate 107894.35
FirstName246 LastName246  full 101875.71
FirstName247 LastName247  assistant 56240.38
FirstName248 LastName248  full 94787.35
FirstName249 LastName249  full 78129.79
FirstName250 LastName250  associate 85577.07
FirstName251 LastName251  assistant 70627.87
FirstName252 LastName252  assistant 72795.40
FirstName253 LastName253  associate 105003.77
FirstName254 LastName254  full 107050.98
FirstName255 LastName255  assistant 50975.63
FirstName256 LastName256  full 84663.65
FirstName257 LastName257  associate 91846.37
FirstName258 LastName258  full 124496.58
FirstName259 LastName259  full 116921.80
FirstName260 LastName260  associate 61126.20
FirstName261 LastName261  associate 104521.03
FirstName262 LastName262  associate 93362.38
FirstName263 LastName263  associate 93474.61
FirstName264 LastName264  full 92668.02
FirstName265 LastName265  associate 89591.73
FirstName266 LastName266  full 79221.87
FirstName267 LastName267  assistant 70351.91
FirstName268 LastName268  assistant 50762.38
FirstName269 LastName269  associate 62284.10
FirstName270 LastName270  associate 103422.51
FirstName271 LastName271  full 127630.47
FirstName272 LastName272  assistant 75747.47
FirstName273 LastName273  associate 89380.61
FirstName274 LastName274  associate 92208.12
FirstName275 LastName275  associate 73668.65
FirstName276 LastName276  associate 83007.40
FirstName277 LastName277  full 99672.89
FirstName278 LastName278  full 94903.54
FirstName279 LastName279  assistant 75034.07
FirstName280 LastName280  associate 104919.49
FirstName281 LastName281  full 112893.27
FirstName282 LastName282  assistant 70566.55
FirstName283 LastName283  assistant 52796.89
FirstName284 LastName284  assistant 75160.64
FirstName285 LastName285  assistant 59454.41
FirstName286 LastName286  associate 65820.69
FirstName287 LastName287  associate 73283.81
FirstName288 LastName288  assistant 77909.50
FirstName289 LastName289  assistant 78283.08
FirstName290 LastName290  full 79509.38
FirstName291 LastName291  associate 87178.38
FirstName292 LastName292  assistant 56151.89
FirstName293 LastName293  associate 90953.51
FirstName294 LastName294  associate 80388.87
FirstName295 LastName295  assistant 57271.43
FirstName296 LastName296  assistant 66231.96
FirstName297 LastName297  full 111761.14
FirstName298 LastName298  associate 102406.37
FirstName299 LastName299  full 95479.13
FirstName300 LastName300  associate 84594.75
FirstName301 LastName301  assistant 70198.84
FirstName302 LastName302  full 108092.61
FirstName303 LastName303  full 95398.78
FirstName304 LastName304  associate 61617.41
FirstName305 LastName305  full 127543.99
FirstName306 LastName306  full 129305.69
FirstName307 LastName307  assistant 79544.71
FirstName308 LastName308  assistant 50632.11
FirstName309 LastName309  associate 68418.26
FirstName310 LastName310  full 113857.23
FirstName311 LastName311  full 104724.71
FirstName312 LastName312  assistant 62934.38
FirstName313 LastName313  assistant 76029.34
FirstName314 LastName314  full 95183.83
FirstName315 LastName315  assistant 52706.85
FirstName316 LastName316  assistant 69479.99
FirstName317 LastName317  full 84244.93
FirstName318 LastName318  associate 69768.62
FirstName319 LastName319  assistant 55208.44
FirstName320 LastName320  assistant 61843.87
FirstName321 LastName321  associate 102766.78
FirstName322 LastName322  assistant 53372.58
FirstName323 LastName323  full 84954.42
FirstName324 LastName324  full 78192.26
FirstName325 LastName325  associate 88097.01
FirstName326 LastName326  associate 89901.50
FirstName327 LastName327  full 105728.30
FirstName328 LastName328  assistant 65325.51
FirstName329 LastName329  assistant 76195.40
FirstName330 LastName330  associate 61067.29
FirstName331 LastName331  full 93886.18
FirstName332 LastName332  associate 94395.22
FirstName333 LastName333  assistant 64240.62
FirstName334 LastName334  full 94903.20
FirstName335 LastName335  associate 98209.09
FirstName336 LastName336  full 102017.13
FirstName337 LastName337  full 113833.55
FirstName338 LastName338  associate 84856.12
FirstName339 LastName339  full 124536.59
FirstName340 LastName340  associate 100886.55
FirstName341 LastName341  full 82315.30
FirstName342 LastName342  full 101559.09
FirstName343 LastName343  assistant 69057.68
FirstName344 LastName344  assistant 72831.22
FirstName345 LastName345  assistant 50054.23
FirstName346 LastName346  assistant 65054.41
FirstName347 LastName347  full 96339.72
FirstName348 LastName348  assistant 58643.91
FirstName349 LastName349  associate 94458.63
FirstName350 LastName350  assistant 62175.56
FirstName351 LastName351  full 95476.07
FirstName352 LastName352  full 126801.01
FirstName353 LastName353  full 103089.40
FirstName354 LastName354  assistant 50863.18
FirstName355 LastName355  assistant 60787.46
FirstName356 LastName356  assistant 61086.80
FirstName357 LastName357  full 102587.94
FirstName358 LastName358  associate 94708.82
FirstName359 LastName359  full 85531.44
FirstName360 LastName360  full 115124.04
FirstName361 LastName361  assistant 50966.84
FirstName362 LastName362  assistant 67844.57
FirstName363 LastName363  full 104019.70
FirstName364 LastName364  associate 73743.65
FirstName365 LastName365  associate 78633.62
FirstName366 LastName366  associate 108465.77
FirstName367 LastName367  assistant 67020.06
FirstName368 LastName368  full 111667.85
FirstName369 LastName369  full 106281.75
FirstName370 LastName370  associate 72583.11
FirstName371 LastName371  associate 96676.72
FirstName372 LastName372  assistant 74496.45
FirstName373 LastName373  full 88387.42
FirstName374 LastName374  full 109077.67
FirstName375 LastName375  full 105650.55
FirstName376 LastName376  full 92020.84
FirstName377 LastName377  full 85247.07
FirstName378 LastName378  full 108952.07
FirstName379 LastName379  assistant 57528.02
FirstName380 LastName380  assistant 71246.23
FirstName381 LastName381  associate 102262.71
FirstName382 LastName382  associate 98935.53
FirstName383 LastName383  associate 95421.96
FirstName384 LastName384  associate 74453.12
FirstName385 LastName385  associate 64118.54
FirstName386 LastName386  associate 81327.57
FirstName387 LastName387  full 125652.86
FirstName388 LastName388  assistant 50328.94
FirstName389 LastName389  assistant 74265.09
FirstName390 LastName390  associate 63679.51
FirstName391 LastName391  assistant 51384.28
FirstName392 LastName392  full 117219.39
FirstName393 LastName393  assistant 60819.75
FirstName394 LastName394  assistant 53038.83
FirstName395 LastName395  assistant 68580.22
FirstName396 LastName396  associate 71206.77
FirstName397 LastName397  associate 96490.61
FirstName398 LastName398  associate 92100.11
FirstName399 LastName399  assistant 69344.21
FirstName400 LastName400  associate 99438.85
FirstName401 LastName401  full 75711.46
FirstName402 LastName402  associate 102015.05
FirstName403 LastName403  assistant 66670.37
FirstName404 LastName404  assistant 65611.76
FirstName405 LastName405  full 113048.22
FirstName406 LastName406  full 125568.51
FirstName407 LastName407  full 90425.59
FirstName408 LastName408  associate 61132.00
FirstName409 LastName409  associate 90400.20
FirstName410 LastName410  associate 96419.94
FirstName411 LastName411  associate 105235.55
FirstName412 LastName412  assistant 68768.56
FirstName413 LastName413  assistant 72383.43
FirstName414 LastName414  full 113264.39
FirstName415 LastName415  assistant 69973.97
FirstName416 LastName416  full 97299.40
FirstName417 LastName417  associate 69371.91
FirstName418 LastName418  full 95096.72
FirstName419 LastName419  full 89825.58
FirstName420 LastName420  full 121378.93
FirstName421 LastName421  full 121684.99
FirstName422 LastName422  associate 107057.73
FirstName423 LastName423  assistant 73000.55
FirstName424 LastName424  full 84541.99
FirstName425 LastName425  assistant 76061.32
FirstName426 LastName426  associate 85719.29
FirstName427 LastName427  assistant 64313.32
FirstName428 LastName428  full 114772.41
FirstName429 LastName429  full 116504.98
FirstName430 LastName430  associate 105101.12
FirstName431 LastName431  associate 95059.62
FirstName432 LastName432  assistant 73757.61
FirstName433 LastName433  assistant 69648.19
FirstName434 LastName434  assistant 58087.77
FirstName435 LastName435  associate 70263.18
FirstName436 LastName436  associate 103743.30
FirstName437 LastName437  full 95234.57
FirstName438 LastName438  full 128118.73
FirstName439 LastName439  associate 96021.53
FirstName440 LastName440  assistant 58330.41
FirstName441 LastName441  assistant 78563.72
FirstName442 LastName442  assistant 57314.77
FirstName443 LastName443  full 126834.96
FirstName444 LastName444  full 98414.41
FirstName445 LastName445  assistant 51518.55
FirstName446 LastName446  full 118768.14
FirstName447 LastName447  full 117425.80
FirstName448 LastName448  assistant 62523.40
FirstName449 LastName449  assistant 58788.72
FirstName450 LastName450  full 90146.74
FirstName451 LastName451  assistant 73367.38
FirstName452 LastName452  full 109272.76
FirstName453 LastName453  assistant 61624.80
FirstName454 LastName454  associate 71767.58
FirstName455 LastName455  assistant 54255.65
FirstName456 LastName456  assistant 61388.44
FirstName457 LastName457  assistant 73043.24
FirstName458 LastName458  full 83502.68
FirstName459 LastName459  assistant 65906.00
FirstName460 LastName460  full 79491.11
FirstName461 LastName461  full 124938.16
FirstName462 LastName462  assistant 64450.32
FirstName463 LastName463  assistant 70625.66
FirstName464 LastName464  full 87163.90
FirstName465 LastName465  assistant 69921.91
FirstName466 LastName466  assistant 76091.62
FirstName467 LastName467  assistant 70781.23
FirstName468 LastName468  assistant 55233.81
FirstName469 LastName469  assistant 57961.36
FirstName470 LastName470  associate 61446.12
FirstName471 LastName471  assistant 54221.76
FirstName472 LastName472  associate 99446.23
FirstName473 LastName473  full 119465.00
FirstName474 LastName474  associate 103624.61
FirstName475 LastName475  associate 96553.05
FirstName476 LastName476  full 78815.15
FirstName477 LastName477  full 95521.01
FirstName478 LastName478  associate 104060.46
FirstName479 LastName479  full 75095.35
FirstName480 LastName480  assistant 65459.56
FirstName481 LastName481  full 81716.59
FirstName482 LastName482  full 122482.53
FirstName483 LastName483  full 85876.60
FirstName484 LastName484  associate 105474.12
FirstName485 LastName485  assistant 79931.96
FirstName486 LastName486  associate 86736.45
FirstName487 LastName487  assistant 65349.06
FirstName488 LastName488  associate 90438.48
FirstName489 LastName489  assistant 76350.64
FirstName490 LastName490  assistant 67871.99
FirstName491 LastName491  full 85158.00
FirstName492 LastName492  associate 91909.30
FirstName493 LastName493  full 92000.85
FirstName494 LastName494  associate 71490.07
FirstName495 LastName495  associate 70370.20
FirstName496 LastName496  assistant 54156.44
FirstName497 LastName497  full 84291.93
FirstName498 LastName498  associate 70027.35
FirstName499 LastName499  full 108370.96
FirstName500 LastName500  assistant 79067.72
FirstName501 LastName501  assistant 76637.06
FirstName502 LastName502  full 128469.80
FirstName503 LastName503  assistant 66775.49
FirstName504 LastName504  assistant 65425.64
FirstName505 LastName505  associate 63886.02
FirstName506 LastName506  associate 86480.05
FirstName507 LastName507  assistant 74522.96
FirstName508 LastName508  full 129955.03
FirstName509 LastName509  associate 94473.92
FirstName510 LastName510  assistant 74718.02
FirstName511 LastName511  full 85406.52
FirstName512 LastName512  assistant 75780.77
FirstName513 LastName513  full 78331.30
FirstName514 LastName514  assistant 50564.11
FirstName515 LastName515  associate 62825.39
FirstName516 LastName516  associate 108469.89
FirstName517 LastName517  full 100603.56
FirstName518 LastName518  associate 108198.49
FirstName519 LastName519  full 84526.39
FirstName520 LastName520  assistant 73411.30
FirstName521 LastName521  full 76807.57
FirstName522 LastName522  full 106405.52
FirstName523 LastName523  assistant 56895.20
FirstName524 LastName524  full 111630.27
FirstName525 LastName525  assistant 54264.70
FirstName526 LastName526  full 75990.76
FirstName527 LastName527  associate 106172.54
FirstName528 LastName528  full 76605.88
FirstName529 LastName529  full 111509.20
FirstName530 LastName530  associate 107906.91
FirstName531 LastName531  full 103649.21
FirstName532 LastName532  associate 108465.84
FirstName533 LastName533  full 111047.42
FirstName534 LastName534  full 83697.83
FirstName535 LastName535  full 83470.20
FirstName536 LastName536  full 105855.32
FirstName537 LastName537  full 95774.72
FirstName538 LastName538  associate 72150.74
FirstName539 LastName539  associate 76732.14
FirstName540 LastName540  assistant 51371.19
FirstName541 LastName541  full 115893.46
FirstName542 LastName542  assistant 64152.81
FirstName543 LastName543  assistant 62844.21
FirstName544 LastName544  associate 84304.89
FirstName545 LastName545  assistant 66878.17
FirstName546 LastName546  associate 96037.71
FirstName547 LastName547  full 79032.15
FirstName548 LastName548  associate 94229.30
FirstName549 LastName549  associate 69820.91
FirstName550 LastName550  full 80510.95
FirstName551 LastName551  associate 99372.51
FirstName552 LastName552  full 97914.69
FirstName553 LastName553  full 101696.39
FirstName554 LastName554  assistant 76384.18
FirstName555 LastName555  full 88431.64
FirstName556 LastName556  full 90375.89
FirstName557 LastName557  full 78420.53
FirstName558 LastName558  assistant 69408.55
FirstName559 LastName559  assistant 78899.87
FirstName560 LastName560  full 113922.78
FirstName561 LastName561  full 97801.05
FirstName562 LastName562  associate 104035.83
FirstName563 LastName563  assistant 61986.83
FirstName564 LastName564  assistant 78635.88
FirstName565 LastName565  full 92078.08
FirstName566 LastName566  associate 77754.51
FirstName567 LastName567  full 111861.34
FirstName568 LastName568  associate 64644.57
FirstName569 LastName569  associate 82478.81
FirstName570 LastName570  assistant 51783.21
FirstName571 LastName571  full 97460.12
FirstName572 LastName572  associate 76692.13
FirstName573 LastName573  associate 82658.18
FirstName574 LastName574  assistant 66640.84
FirstName575 LastName575  full 101461.67
FirstName576 LastName576  associate 70734.01
FirstName577 LastName577  full 105656.30
FirstName578 LastName578  assistant 78302.48
FirstName579 LastName579  full 105821.54
FirstName580 LastName580  full 100166.22
FirstName581 LastName581  full 109188.79
FirstName582 LastName582  assistant 76380.35
FirstName583 LastName583  associate 99249.48
FirstName584 LastName584  assistant 66467.85
FirstName585 LastName585  assistant 59481.23
FirstName586 LastName586  assistant 58761.01
FirstName587 LastName587  associate 60100.98
FirstName588 LastName588  assistant 60220.80
FirstName589 LastName589  full 108086.38
FirstName590 LastName590  associate 97622.34
FirstName591 LastName591  associate 76304.99
FirstName592 LastName592  assistant 56725.74
FirstName593 LastName593  assistant 75958.10
FirstName594 LastName594  assistant 69653.93
FirstName595 LastName595  assistant 50129.31
FirstName596 LastName596  full 112249.71
FirstName597 LastName597  assistant 59737.89
FirstName598 LastName598  associate 92152.85
FirstName599 LastName599  full 120412.65
FirstName600 LastName600  assistant 57067.61
FirstName601 LastName601  associate 88201.31
FirstName602 LastName602  full 127288.90
FirstName603 LastName603  assistant 66888.52
FirstName604 LastName604  associate 69445.52
FirstName605 LastName605  assistant 59502.32
FirstName606 LastName606  assistant 67732.47
FirstName607 LastName607  assistant 55559.43
FirstName608 LastName608  full 105414.27
FirstName609 LastName609  associate 102766.14
FirstName610 LastName610  full 105948.00
FirstName611 LastName611  full 120664.15
FirstName612 LastName612  full 81485.46
FirstName613 LastName613  full 108232.54
FirstName614 LastName614  full 102616.95
FirstName615 LastName615  full 117492.25
FirstName616 LastName616  assistant 68717.37
FirstName617 LastName617  assistant 75131.86
FirstName618 LastName618  full 100187.99
FirstName619 LastName619  assistant 76381.23
FirstName620 LastName620  assistant 60944.76
FirstName621 LastName621  full 106686.80
FirstName622 LastName622  full 114156.27
FirstName623 LastName623  assistant 58657.37
FirstName624 LastName624  assistant 73126.09
FirstName625 LastName625  associate 62206.89
FirstName626 LastName626  assistant 74690.01
FirstName627 LastName627  associate 75009.85
FirstName628 LastName628  associate 98526.85
FirstName629 LastName629  assistant 59123.13
FirstName630 LastName630  full 92608.82
FirstName631 LastName631  associate 95878.95
FirstName632 LastName632  full 129080.31
FirstName633 LastName633  assistant 77830.44
FirstName634 LastName634  full 114597.40
FirstName635 LastName635  associate 66385.62
FirstName636 LastName636  associate 62150.91
FirstName637 LastName637  associate 100960.40
FirstName638 LastName638  assistant 73818.02
FirstName639 LastName639  assistant 75759.73
FirstName640 LastName640  associate 90195.84
FirstName641 LastName641  full 105479.06
FirstName642 LastName642  associate 73125.01
FirstName643 LastName643  full 108108.98
FirstName644 LastName644  associate 101427.30
FirstName645 LastName645  associate 102280.43
FirstName646 LastName646  associate 77031.16
FirstName647 LastName647  full 126663.33
FirstName648 LastName648  full 97541.66
FirstName649 LastName649  assistant 50067.58
FirstName650 LastName650  full 119602.21
FirstName651 LastName651  associate 73019.08
FirstName652 LastName652  full 98500.19
FirstName653 LastName653  associate 84573.58
FirstName654 LastName654  assistant 66517.34
FirstName655 LastName655  assistant 74341.99
FirstName656 LastName656  assistant 67638.45
FirstName657 LastName657  assistant 79103.30
FirstName658 LastName658  associate 94348.78
FirstName659 LastName659  associate 103095.34
FirstName660 LastName660  associate 92684.98
FirstName661 LastName661  assistant 61904.63
FirstName662 LastName662  assistant 74267.04
FirstName663 LastName663  full 87566.51
FirstName664 LastName664  full 80766.74
FirstName665 LastName665  associate 64458.48
FirstName666 LastName666  assistant 77240.06
FirstName667 LastName667  full 110381.45
FirstName668 LastName668  assistant 60238.39
FirstName669 LastName669  full 121110.80
FirstName670 LastName670  associate 108856.19
FirstName671 LastName671  assistant 71181.18
FirstName672 LastName672  assistant 79150.66
FirstName673 LastName673  full 99495.79
FirstName674 LastName674  associate 82043.71
FirstName675 LastName675  associate 80372.86
FirstName676 LastName676  assistant 79756.61
FirstName677 LastName677  associate 74575.72
FirstName678 LastName678  associate 102214.91
FirstName679 LastName679  full 100458.77
FirstName680 LastName680  assistant 77087.21
FirstName681 LastName681  assistant 74204.05
FirstName682 LastName682  associate 83770.25
FirstName683 LastName683  assistant 78311.18
FirstName684 LastName684  full 78822.16
FirstName685 LastName685  assistant 78477.70
FirstName686 LastName686  associate 102377.66
FirstName687 LastName687  assistant 78359.92
FirstName688 LastName688  full 122857.40
FirstName689 LastName689  full 78227.75
FirstName690 LastName690  full 86937.64
FirstName691 LastName691  full 90402.21
FirstName692 LastName692  assistant 63165.25
FirstName693 LastName693  assistant 70942.93
FirstName694 LastName694  assistant 66867.83
FirstName695 LastName695  full 98799.97
FirstName696 LastName696  assistant 51506.82
FirstName697 LastName697  associate 77281.04
FirstName698 LastName698  assistant 70983.63
FirstName699 LastName699  associate 73387.93
FirstName700 LastName700  assistant 63440.76
FirstName701 LastName701  full 77816.85
FirstName702 LastName702  full 100393.30
FirstName703 LastName703  full 87412.79
FirstName704 LastName704  full 111738.42
FirstName705 LastName705  full 98117.62
FirstName706 LastName706  associate 65812.78
FirstName707 LastName707  associate 109881.79
FirstName708 LastName708  full 83588.62
FirstName709 LastName709  associate 86922.76
FirstName710 LastName710  full 99546.06
FirstName711 LastName711  associate 105789.34
FirstName712 LastName712  associate 71660.83
FirstName713 LastName713  associate 94992.39
FirstName714 LastName714  associate 68637.98
FirstName715 LastName715  associate 87421.45
FirstName716 LastName716  full 86291.99
FirstName717 LastName717  assistant 51598.46
FirstName718 LastName718  associate 92115.56
FirstName719 LastName719  full 88065.14
FirstName720 LastName720  associate 93638.26
FirstName721 LastName721  assistant 65859.19
FirstName722 LastName722  assistant 78703.02
FirstName723 LastName723  associate 88372.40
FirstName724 LastName724  assistant 75109.59
FirstName725 LastName725  assistant 69712.54
FirstName726 LastName726  full 128357.88
FirstName727 LastName727  associate 60127.96
FirstName728 LastName728  assistant 75695.76
FirstName729 LastName729  associate 67431.98
FirstName730 LastName730  assistant 74872.96
FirstName731 LastName731  assistant 55488.33
FirstName732 LastName732  assistant 66593.40
FirstName733 LastName733  full 93705.68
FirstName734 LastName734  associate 109105.22
FirstName735 LastName735  full 108845.89
FirstName736 LastName736  full 76007.79
FirstName737 LastName737  full 123208.84
